frame,time,temp,a0,temp_pres,pressure,altitude,humidity,temp_hum
102,63278,24.94,1023,22.40,99472,155.77,28.10,22.80
103,63893,24.94,1023,22.40,99470,155.43,28.10,22.80
104,64510,25.31,1023,22.40,99465,155.77,28.10,22.80
105,65126,25.31,1023,22.40,99465,155.94,28.10,22.80
106,65740,25.75,1023,22.40,99466,155.85,28.10,22.80
107,66355,25.75,1023,22.40,99464,156.11,28.10,22.80
108,66981,26.19,1022,22.40,99470,155.69,28.10,22.80
109,67596,26.19,1023,22.40,99469,155.52,28.10,22.80
110,68210,26.75,1023,22.40,99465,156.11,28.10,22.80
111,68826,26.75,1023,22.40,99464,155.60,28.10,22.80
112,69443,27.44,1023,22.40,99468,155.69,28.20,22.80
113,70057,27.44,1023,22.40,99470,155.26,28.20,22.80
114,70673,28.06,1022,22.40,99467,155.43,28.20,22.80
115,71287,28.06,1023,22.40,99461,155.43,28.20,22.80
116,71919,28.69,1022,22.40,99469,155.60,28.20,22.80
117,72535,28.69,1022,22.40,99464,155.69,28.20,22.80
118,73157,29.31,1023,22.40,99473,155.52,28.20,22.80
119,73772,29.31,1023,22.40,99468,155.77,28.20,22.80
120,74390,29.88,1023,22.40,99468,155.77,28.20,22.80
121,75004,29.88,1021,22.40,99469,156.02,28.20,22.80
122,75619,30.44,1023,22.40,99471,155.77,28.20,22.80
123,76234,30.44,1023,22.40,99465,155.77,28.20,22.80
124,76852,30.94,1023,22.40,99471,155.85,28.20,22.80
125,77467,30.94,1023,22.40,99471,155.60,28.20,22.80
126,78082,31.50,1023,22.40,99466,155.77,28.20,22.80
127,78704,31.50,1023,22.40,99467,155.77,28.20,22.80
128,79323,32.13,1023,22.40,99468,155.77,28.20,22.80
129,79937,32.13,1023,22.40,99469,155.52,28.20,22.80
130,80551,32.69,1023,22.40,99467,155.77,28.20,22.80
131,81167,32.69,1023,22.40,99461,155.69,28.20,22.80
132,81784,33.25,1023,22.40,99466,155.77,28.10,22.80
133,82400,33.25,1023,22.40,99464,155.69,28.10,22.80
134,83014,33.75,1023,22.40,99466,155.94,28.10,22.80
135,83629,33.75,1023,22.40,99468,155.94,28.10,22.80
136,84247,34.25,1023,22.40,99469,155.77,28.10,22.80
137,84870,34.25,1023,22.40,99466,155.69,28.10,22.80
138,85484,34.75,1023,22.40,99470,155.77,28.10,22.80
139,86099,34.75,1023,22.40,99468,155.60,28.10,22.80
140,86718,35.31,1023,22.40,99466,156.02,28.10,22.80
141,87332,35.31,1023,22.40,99468,155.69,28.10,22.80
142,87947,35.94,1023,22.40,99467,155.77,28.10,22.80
143,88562,35.94,1023,22.40,99470,155.69,28.10,22.80
144,89180,36.56,1022,22.40,99468,155.77,28.10,22.80
145,89795,36.56,1023,22.40,99469,155.77,28.10,22.80
146,90409,37.13,1023,22.40,99462,156.45,28.10,22.80
147,91032,37.13,1023,22.40,99467,155.77,28.10,22.80
148,91651,37.63,1023,22.40,99464,156.19,28.10,22.80
149,92265,37.63,1022,22.40,99468,155.94,28.10,22.80
150,92879,38.00,1023,22.40,99467,156.36,28.10,22.80
151,93495,38.00,1023,22.40,99468,155.77,28.10,22.80
152,94113,38.38,1023,22.40,99463,156.19,28.10,22.80
153,94728,38.38,1023,22.40,99461,155.94,28.10,22.80
154,95342,38.69,1023,22.40,99464,156.11,28.10,22.80
155,95958,38.69,1023,22.40,99458,156.28,28.10,22.80
156,96594,39.06,1022,22.40,99468,156.02,28.10,22.80
157,97209,39.06,1023,22.40,99468,156.28,28.10,22.80
158,97823,39.56,1023,22.40,99467,156.11,28.10,22.80
159,98438,39.56,1023,22.40,99470,155.77,28.10,22.80
160,99056,40.06,1023,22.40,99466,155.94,28.10,22.80
161,99671,40.06,1023,22.40,99464,156.19,28.10,22.80
162,100286,40.63,1023,22.40,99461,156.19,28.10,22.80
